Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - Final 1/3 Entry,Carries - CPA,Carries - Miscontrols,Carries - Dispossessed,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tackles - Tkl,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers Tackled - Tkl,Att,Tkl%,Total Blocks,Shots Blocked,Passes Blocked,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,SCA - TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,GCA - TO,GCA - Sh,GCA - Fld,GCA - Def,Dead,TB,Sw,TI,CK,In,Out,Str,Cmp,Blocks,Season,position_group,Age_Years
Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,eng Premier League,536,478,536,0,0,0,536,0,0,0.0,0,0.0,284,1668,734,0,0,0,1,0,233,0,2,0,0,0,2,0,0,0,1,0,0,1,14,4,0,100.0,280,485,57.7,7596,5485,75,78,96.2,120,123,97.6,81,277,29.2,0,0.0,0.0,0.0,0,9,1,0,0,1,1,0,0,1,2,50.0,0,0,0,1,8,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0,140,0,0,0,0,0,0,0,280,0,2023-2024,GK,26
Liam Henderson,sct SCO,MF,Empoli,27,1996,0.1,it Serie A,5,0,0,4,1,0,5,0,0,0.0,0,0.0,3,24,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2,5,40.0,40,0,1,2,50.0,1,1,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,2023-2024,Central Midfielders,27
Benjamin Henrichs,de GER,DF,RB Leipzig,26,1997,28.1,de Bundesliga,1959,61,508,850,620,68,1959,54,33,61.1,15,27.8,1113,5443,2958,53,51,7,32,20,1244,161,5,0,0,27,34,2,67,33,39,0,2,0,163,23,22,51.1,1314,1670,78.7,21612,8038,657,743,88.4,548,673,81.4,85,165,51.5,5,4.4,6.0,0.6,40,78,46,11,124,68,32,26,10,27,58,46.6,49,4,45,101,37,0,1,35,9,25.7,1.25,0.32,0.03,0.11,19.1,4,0,0,2.5,2.5,0.07,-1.5,-1.5,89,3.17,69,4,6,5,1,4,13,0.46,10,0,0,2,1,0,245,15,5,222,0,0,0,0,1314,40,2023-2024,Defender,26
Henrique,br BRA,DF,Lyon,29,1994,6.7,fr Ligue 1,452,12,100,217,140,12,452,7,2,28.6,4,57.1,327,1716,958,20,14,2,4,2,309,33,2,0,0,7,8,0,17,10,6,0,0,0,24,5,5,50.0,351,400,87.8,4829,1386,209,221,94.6,113,129,87.6,13,25,52.0,0,0.4,0.6,-0.4,5,28,5,4,36,10,6,4,0,6,11,54.5,8,2,6,20,3,0,1,8,3,37.5,1.19,0.44,0.13,0.33,18.3,0,0,0,0.3,0.3,0.04,0.7,0.7,9,1.33,6,1,1,0,1,0,1,0.15,1,0,0,0,0,0,57,0,0,53,0,0,0,0,351,9,2023-2024,Defender,29
Luis Henrique,br BRA,"FW,DF",Marseille,21,2001,8.7,fr Ligue 1,472,9,71,185,227,25,472,25,13,52.0,11,44.0,366,2503,1158,30,26,9,16,9,346,84,0,0,0,1,2,6,27,8,7,0,0,0,58,0,0,0.0,300,387,77.5,5161,1430,145,172,84.3,121,152,79.6,27,45,60.0,0,0.7,0.9,-0.7,10,25,14,5,40,8,4,1,3,4,7,57.1,9,0,9,16,3,0,1,12,3,25.0,1.38,0.34,0.08,0.33,19.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,29,3.33,27,0,2,0,0,0,0,0.0,0,0,0,0,0,0,13,0,4,11,0,0,0,0,300,6,2023-2024,Wing-Back,21
Luiz Henrique,br BRA,FW,Betis,22,2001,6.8,es La Liga,319,4,33,135,156,34,319,47,26,55.3,13,27.7,205,1791,897,35,14,10,13,17,235,58,1,0,0,7,15,0,24,5,11,0,0,0,29,15,14,51.7,146,211,69.2,2292,489,78,101,77.2,46,62,74.2,13,24,54.2,3,1.6,1.5,1.4,11,10,10,6,17,15,4,10,1,9,14,64.3,11,0,11,20,8,0,0,18,3,16.7,2.63,0.44,0.0,0.0,15.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,30,4.38,20,0,6,4,0,0,5,0.73,3,0,2,0,0,0,3,1,2,1,1,0,0,0,146,11,2023-2024,Forwards,22
Matheus Henrique,br BRA,MF,Sassuolo,25,1997,27.8,it Serie A,1234,67,263,686,302,23,1234,39,20,51.3,14,35.9,753,5115,2575,43,34,5,40,20,852,44,8,1,1,21,38,2,26,25,29,0,0,0,141,14,12,53.8,831,1017,81.7,15414,5187,331,389,85.1,376,425,88.5,102,157,65.0,2,1.6,1.6,0.4,36,90,22,3,94,43,21,18,4,18,43,41.9,18,8,10,68,31,6,2,19,7,36.8,0.68,0.25,0.11,0.29,20.7,0,0,0,2.3,2.3,0.12,-0.3,-0.3,77,2.77,63,7,1,3,3,0,5,0.18,5,0,0,0,0,0,51,5,16,9,15,5,8,0,831,17,2023-2024,Central Midfielders,25
Rico Henry,eng ENG,DF,Brentford,26,1997,4.5,eng Premier League,227,14,78,93,59,7,227,10,7,70.0,1,10.0,115,698,372,13,3,3,8,7,126,12,1,0,0,4,6,2,11,5,5,0,0,0,24,4,5,44.4,147,183,80.3,2291,763,82,94,87.2,51,61,83.6,11,19,57.9,1,1.0,0.8,0.0,4,10,7,2,20,7,3,3,1,6,7,85.7,8,3,5,12,5,1,0,2,0,0.0,0.45,0.0,0.0,0.0,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,13,2.92,10,0,3,0,0,0,3,0.67,2,0,1,0,0,0,17,0,3,15,0,0,0,0,147,4,2023-2024,Defender,26
Thomas Henry,fr FRA,FW,Hellas Verona,28,1994,3.7,it Serie A,115,5,11,53,54,17,114,5,1,20.0,4,80.0,64,268,43,2,3,1,13,2,94,20,2,2,0,15,5,3,3,0,0,0,0,0,8,19,20,48.7,33,67,49.3,421,83,20,42,47.6,8,10,80.0,1,3,33.3,0,0.0,0.1,0.0,2,2,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,5,0,3,13,7,53.8,3.5,1.89,0.23,0.43,13.9,0,0,1,3.3,2.5,0.19,-0.3,0.5,6,1.61,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,33,2,2023-2024,Forwards,28
Christophe Hérelle,mq MTQ,DF,Metz,30,1992,18.0,fr Ligue 1,776,105,377,388,20,4,776,9,5,55.6,3,33.3,504,2734,1397,1,3,0,9,1,436,1,4,1,0,14,33,0,1,18,15,0,0,0,77,17,16,51.5,543,609,89.2,12018,3571,110,120,91.7,326,341,95.6,101,137,73.7,0,0.0,0.1,0.0,1,29,5,1,41,32,24,7,1,13,23,56.5,16,9,7,50,68,2,0,4,0,0.0,0.22,0.0,0.0,0.0,21.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,15,0.83,13,0,1,0,1,0,2,0.11,2,0,0,0,0,0,28,0,2,1,0,0,0,0,543,4,2023-2024,Defender,30
Mario Hermoso,es ESP,DF,Atlético Madrid,28,1995,28.4,es La Liga,2196,152,811,1154,251,24,2196,20,11,55.0,6,30.0,1248,5330,3028,39,32,1,21,11,1484,61,9,0,0,32,23,1,38,30,25,1,0,0,168,46,32,59.0,1676,1947,86.1,29197,10370,828,879,94.2,659,737,89.4,156,260,60.0,1,0.8,1.1,0.2,17,162,18,6,177,46,29,13,4,28,51,54.9,27,9,18,76,93,0,0,17,4,23.5,0.6,0.14,0.0,0.0,15.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,45,1.58,37,4,1,2,1,0,6,0.21,3,1,0,1,1,0,194,2,47,123,0,0,0,0,1676,25,2023-2024,Defender,28
Javi Hernández,es ESP,DF,Cádiz,25,1998,27.9,es La Liga,1571,112,509,669,412,29,1571,32,13,40.6,17,53.1,685,3932,2182,40,44,6,30,13,760,57,10,0,0,45,19,1,127,19,24,0,0,0,139,31,27,53.4,922,1292,71.4,15773,7452,449,524,85.7,350,452,77.4,93,242,38.4,2,2.1,2.8,-0.1,32,73,24,18,94,43,26,12,5,25,46,54.3,34,9,25,62,72,1,1,30,8,26.7,1.07,0.29,0.03,0.13,24.0,6,0,0,1.4,1.4,0.05,-0.4,-0.4,63,2.26,39,18,1,2,1,2,6,0.21,3,2,0,1,0,0,299,1,4,193,44,15,22,0,922,27,2023-2024,Defender,25
Aridane Hernández,es ESP,DF,Rayo Vallecano,34,1989,18.8,es La Liga,959,155,586,358,18,10,959,3,1,33.3,0,0.0,438,1991,843,0,2,0,8,0,538,0,3,0,0,11,12,0,0,14,8,0,1,0,86,35,18,66.0,675,788,85.7,12932,4358,248,272,91.2,352,387,91.0,68,114,59.6,0,0.0,0.1,0.0,3,20,0,0,21,10,5,4,1,4,11,36.4,19,14,5,24,98,1,0,5,0,0.0,0.27,0.0,0.0,0.0,16.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,10,0.53,8,1,0,0,1,0,0,0.0,0,0,0,0,0,0,38,0,2,2,0,0,0,0,675,2,2023-2024,Defender,34
Lucas Hernández,fr FRA,DF,Paris S-G,27,1996,21.2,fr Ligue 1,2041,91,578,1247,234,19,2041,16,9,56.3,5,31.3,1583,7311,3507,30,33,4,16,5,1476,22,6,0,0,23,30,1,19,27,36,1,0,0,124,23,16,59.0,1670,1859,89.8,28845,9121,696,744,93.5,822,886,92.8,117,173,67.6,1,1.6,1.4,-0.6,12,166,9,1,156,52,28,15,9,29,50,58.0,21,5,16,79,38,0,1,6,2,33.3,0.28,0.09,0.17,0.5,18.2,0,0,0,0.5,0.5,0.08,0.5,0.5,25,1.18,19,1,0,1,2,2,3,0.14,1,0,0,1,1,0,169,1,16,128,0,0,0,0,1670,20,2023-2024,Defender,27
Luis Hernández,es ESP,DF,Cádiz,34,1989,8.0,es La Liga,411,34,178,167,69,1,411,0,0,0.0,0,0.0,172,830,559,2,3,0,0,0,217,1,4,0,0,8,0,0,2,8,3,0,0,0,24,9,2,81.8,257,363,70.8,5409,2776,78,92,84.8,137,170,80.6,41,98,41.8,0,0.4,0.4,-0.4,6,27,1,0,31,7,4,3,0,4,8,50.0,3,2,1,15,25,0,1,1,1,100.0,0.12,0.12,1.0,1.0,2.2,0,0,0,1.0,1.0,0.95,0.0,0.0,17,2.12,9,8,0,0,0,0,0,0.0,0,0,0,0,0,0,66,1,2,58,0,0,0,0,257,1,2023-2024,Defender,34
Theo Hernández,fr FRA,DF,Milan,25,1997,31.0,it Serie A,2269,90,581,1191,530,71,2267,81,37,45.7,32,39.5,1467,9362,6104,116,93,13,30,22,1602,124,11,1,0,38,50,2,68,23,17,1,1,0,172,29,18,61.7,1717,1994,86.1,26200,9027,934,995,93.9,637,709,89.8,91,172,52.9,4,4.3,4.6,-0.3,44,103,40,12,166,30,19,11,0,11,22,50.0,33,13,20,53,42,1,5,55,16,29.1,1.77,0.52,0.07,0.25,20.7,2,1,2,4.9,3.4,0.06,0.1,0.6,119,3.84,87,8,7,11,5,1,13,0.42,11,0,0,1,1,0,252,6,17,146,18,4,7,0,1717,45,2023-2024,Defender,25
Jorge Herrando,es ESP,DF,Osasuna,22,2001,18.3,es La Liga,899,125,476,399,25,10,899,2,2,100.0,0,0.0,442,1982,870,3,3,0,4,2,524,1,4,0,0,26,10,0,0,15,19,0,0,0,49,26,25,51.0,589,738,79.8,11221,4290,213,237,89.9,315,347,90.8,56,131,42.7,1,0.2,0.1,0.8,2,33,1,0,35,29,23,6,0,12,19,63.2,20,11,9,44,69,1,0,4,0,0.0,0.22,0.0,0.0,0.0,14.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4,4,0.22,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,58,0,3,1,0,0,0,0,589,11,2023-2024,Defender,22
Ander Herrera,es ESP,MF,Athletic Club,33,1989,11.4,es La Liga,903,37,171,525,220,13,903,10,5,50.0,4,40.0,477,1767,839,11,21,0,6,6,600,17,4,0,0,21,11,0,13,15,32,0,0,0,76,14,24,36.8,643,756,85.1,10056,2855,337,369,91.3,234,271,86.3,44,71,62.0,3,1.2,1.9,1.8,12,67,17,3,94,44,11,26,7,20,36,55.6,16,6,10,59,18,1,0,14,2,14.3,1.22,0.17,0.0,0.0,21.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,30,2.63,27,0,0,2,0,1,3,0.26,3,0,0,0,0,0,24,4,4,1,0,0,0,0,643,6,2023-2024,Central Midfielders,33
Cristian Herrera,es ESP,"FW,MF",Las Palmas,32,1991,1.8,es La Liga,117,2,16,59,42,4,117,2,1,50.0,1,50.0,77,300,138,2,3,0,8,2,93,16,1,0,0,3,3,2,1,0,1,0,0,0,9,0,2,0.0,92,101,91.1,1092,323,66,69,95.7,23,25,92.0,1,1,100.0,0,0.0,0.1,0.0,1,6,0,0,8,1,0,1,0,1,2,50.0,1,0,1,1,2,0,1,1,1,100.0,0.54,0.54,1.0,1.0,3.8,0,0,0,0.9,0.9,0.87,0.1,0.1,5,2.73,5,0,0,0,0,0,1,0.55,1,0,0,0,0,0,3,0,0,1,0,0,0,0,92,2,2023-2024,Attacking Midfielders,32
Sergio Herrera,es ESP,GK,Osasuna,30,1993,31.9,es La Liga,1264,948,1250,18,0,0,1264,0,0,0.0,0,0.0,671,4122,2365,0,0,0,2,0,547,0,2,0,0,0,7,0,0,0,2,0,0,0,26,10,0,100.0,766,1185,64.6,26571,22063,87,87,100.0,315,323,97.5,362,770,47.0,0,0.0,0.1,0.0,1,35,0,0,1,2,2,0,0,2,3,66.7,0,0,0,2,22,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0.19,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,341,0,0,1,0,0,0,0,766,1,2023-2024,GK,30
Yangel Herrera,ve VEN,MF,Girona,25,1998,23.4,es La Liga,1452,67,331,793,339,68,1452,31,22,71.0,7,22.6,804,3745,1673,31,32,4,48,50,1027,76,9,0,0,65,62,2,29,24,37,1,0,0,125,61,44,58.1,972,1137,85.5,14545,3393,553,608,91.0,320,377,84.9,59,88,67.0,0,2.4,1.9,-2.4,18,79,15,7,92,64,28,30,6,30,56,53.6,30,8,22,88,45,1,5,52,18,34.6,2.22,0.77,0.1,0.28,16.5,0,0,0,4.9,4.9,0.09,0.1,0.1,48,2.05,37,0,1,3,7,0,4,0.17,3,0,0,0,1,0,22,1,6,2,0,0,0,0,972,14,2023-2024,Central Midfielders,25
Patrick Herrmann,de GER,"FW,DF",Gladbach,32,1991,1.0,de Bundesliga,58,2,5,22,32,9,58,1,0,0.0,0,0.0,27,148,92,3,4,1,1,1,34,8,1,0,0,3,2,0,5,1,4,0,0,0,6,1,1,50.0,29,44,65.9,545,160,16,23,69.6,7,11,63.6,6,7,85.7,0,0.1,0.1,-0.1,3,2,1,0,6,4,2,1,1,2,2,100.0,1,0,1,5,2,0,0,4,0,0.0,4.19,0.0,0.0,0.0,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,7,7.33,4,2,0,1,0,0,1,1.05,1,0,0,0,0,0,7,0,0,0,6,4,0,0,29,1,2023-2024,Wing-Back,32
Juan Herzog,es ESP,DF,Las Palmas,20,2003,3.2,es La Liga,257,30,161,93,3,3,257,1,1,100.0,0,0.0,132,383,144,0,0,0,1,0,182,0,1,0,0,1,1,0,0,2,5,0,0,0,13,4,3,57.1,195,220,88.6,2675,1152,121,127,95.3,62,68,91.2,5,12,41.7,0,0.0,0.0,0.0,0,2,0,0,3,6,5,1,0,3,6,50.0,4,1,3,8,17,0,2,3,3,100.0,0.92,0.92,0.67,0.67,6.2,0,0,0,0.7,0.7,0.23,1.3,1.3,1,0.31,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,195,6,2023-2024,Defender,20
Son Heung-min,kr KOR,FW,Tottenham,31,1992,32.6,eng Premier League,1354,8,87,458,823,212,1352,92,39,42.4,47,51.1,927,5688,2989,119,44,64,55,41,1100,325,1,0,0,12,39,20,36,8,13,1,1,1,80,5,16,23.8,887,1075,82.5,12123,2822,531,609,87.2,297,338,87.9,23,38,60.5,10,11.8,8.3,-1.8,68,40,65,2,139,21,6,7,8,10,21,47.6,4,1,3,29,4,0,17,83,38,45.8,2.55,1.17,0.18,0.39,15.5,0,2,2,12.0,10.4,0.13,5.0,4.6,129,3.96,108,0,11,6,3,1,17,0.52,13,0,3,0,1,0,75,17,2,10,3,0,0,0,887,36,2023-2024,Forwards,31
Aaron Hickey,sct SCO,DF,Brentford,21,2002,7.9,eng Premier League,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,5,0,0,10,16,0,5,3,9,0,0,0,42,1,9,10.0,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70.0,0,0.1,0.1,-0.1,1,10,2,0,21,16,9,3,4,7,7,100.0,7,3,4,19,10,0,0,7,1,14.3,0.88,0.13,0.0,0.0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,7,0.88,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0,23,1,3,20,0,0,0,0,243,7,2023-2024,Defender,21
Isak Hien,se SWE,DF,Hellas Verona,24,1999,9.6,it Serie A,505,65,274,227,14,6,505,7,2,28.6,4,57.1,251,1373,682,8,3,0,7,8,246,1,1,1,0,11,2,0,0,7,10,0,0,0,66,34,24,58.6,324,394,82.2,6945,2807,83,103,80.6,192,210,91.4,47,69,68.1,0,0.0,0.1,0.0,0,21,0,0,26,17,10,7,0,10,19,52.6,12,5,7,24,33,1,0,4,1,25.0,0.42,0.1,0.0,0.0,9.0,0,0,0,0.4,0.4,0.11,-0.4,-0.4,3,0.31,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,0,2,1,0,0,0,0,324,2,2023-2024,Defender,24
Isak Hien,se SWE,DF,Atalanta,24,1999,10.4,it Serie A,572,71,305,256,17,8,572,5,3,60.0,2,40.0,256,997,442,0,1,1,6,2,297,0,3,0,0,18,9,2,0,14,12,0,0,0,60,36,15,70.6,417,472,88.3,8718,2621,102,124,82.3,268,283,94.7,44,56,78.6,1,0.1,0.1,0.9,1,14,0,0,24,18,8,10,0,7,15,46.7,12,5,7,32,33,0,0,4,2,50.0,0.38,0.19,0.0,0.0,9.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,4,0.38,4,0,0,0,0,0,1,0.1,1,0,0,0,0,0,21,0,1,1,0,0,0,0,417,2,2023-2024,Defender,24
James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,eng Premier League,62,10,26,24,12,0,62,1,0,0.0,1,100.0,18,41,7,0,1,0,1,1,20,1,0,0,0,1,0,0,0,3,2,0,0,0,7,4,1,80.0,28,42,66.7,542,243,13,16,81.3,8,13,61.5,5,10,50.0,0,0.0,0.0,0.0,0,6,0,0,5,3,1,2,0,1,1,100.0,3,2,1,6,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,28,2,2023-2024,Defender,21
Piero Hincapié,ec ECU,DF,Leverkusen,21,2002,16.5,de Bundesliga,1597,100,472,895,237,25,1597,6,1,16.7,5,83.3,994,5078,3063,34,32,1,11,4,1237,50,2,0,0,16,11,0,8,13,22,0,0,0,78,36,27,57.1,1307,1435,91.1,19443,6533,758,788,96.2,469,509,92.1,52,91,57.1,2,0.5,0.9,1.5,6,99,9,0,102,35,14,17,4,13,17,76.5,18,7,11,48,43,0,1,18,6,33.3,1.09,0.36,0.06,0.17,14.2,0,0,0,1.9,1.9,0.11,-0.9,-0.9,23,1.39,20,0,0,2,1,0,5,0.3,4,0,0,1,0,0,58,2,5,30,0,0,0,0,1307,8,2023-2024,Defender,21
Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,9.7,eng Premier League,590,26,193,256,143,30,590,5,0,0.0,4,80.0,331,1598,726,16,15,1,9,2,381,38,1,0,0,11,3,1,10,14,5,0,1,0,33,7,8,46.7,418,498,83.9,5999,1172,233,267,87.3,156,175,89.1,9,22,40.9,0,0.7,0.4,-0.7,8,24,5,1,19,14,7,4,3,5,13,38.5,6,2,4,28,18,0,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,1.1,1.1,14,1.45,11,0,0,3,0,0,0,0.0,0,0,0,0,0,0,67,0,3,53,0,0,0,0,418,4,2023-2024,Defender,18
Adam Hložek,cz CZE,"MF,FW",Leverkusen,21,2002,5.1,de Bundesliga,222,4,21,99,105,29,222,14,4,28.6,9,64.3,135,812,386,14,9,5,10,13,177,33,1,0,0,8,7,1,0,2,4,0,0,0,20,8,10,44.4,123,152,80.9,1739,280,78,88,88.6,34,42,81.0,6,8,75.0,3,0.9,1.2,2.1,9,5,2,0,13,10,2,4,4,3,7,42.9,4,1,3,12,1,0,2,18,6,33.3,3.53,1.18,0.11,0.33,14.6,0,0,0,3.1,3.1,0.17,-1.1,-1.1,16,3.14,12,0,1,3,0,0,4,0.78,4,0,0,0,0,0,1,0,0,1,0,0,0,0,123,4,2023-2024,Attacking Midfielders,21
Nicolas Höfler,de GER,MF,Freiburg,33,1990,25.9,de Bundesliga,1386,112,417,805,175,20,1386,18,14,77.8,3,16.7,661,3259,1249,14,11,0,19,20,804,15,10,1,0,29,31,0,2,31,40,0,0,0,152,49,48,50.5,985,1153,85.4,16479,4636,426,492,86.6,468,515,90.9,59,81,72.8,1,0.4,0.7,0.6,9,82,6,0,94,63,36,20,7,22,49,44.9,30,16,14,94,45,0,1,16,1,6.3,0.62,0.04,0.06,1.0,17.4,0,0,0,0.7,0.7,0.04,0.3,0.3,32,1.24,27,0,0,3,1,1,3,0.12,3,0,0,0,0,0,52,0,3,1,0,0,0,0,985,19,2023-2024,Central Midfielders,33
Jonas Hofmann,de GER,MF,Leverkusen,31,1992,24.5,de Bundesliga,1718,3,122,676,928,110,1718,35,18,51.4,17,48.6,895,4657,2294,63,50,13,34,17,1353,221,3,0,0,14,19,13,126,8,14,2,0,0,77,2,8,20.0,1214,1530,79.3,18608,4146,700,795,88.1,361,437,82.6,103,183,56.3,7,8.1,8.3,-1.1,78,71,41,5,119,20,6,9,5,10,24,41.7,18,0,18,28,6,0,5,60,25,41.7,2.45,1.02,0.08,0.2,18.5,0,0,0,5.9,5.9,0.1,-0.9,-0.9,157,6.42,108,33,4,6,5,1,20,0.82,10,7,0,1,2,0,169,7,10,33,97,47,23,1,1214,43,2023-2024,Central Midfielders,31
Philipp Hofmann,de GER,FW,Bochum,30,1993,17.5,de Bundesliga,581,16,45,282,257,84,581,15,9,60.0,6,40.0,256,907,208,7,6,2,43,14,435,86,1,0,0,20,26,4,3,4,5,0,0,0,44,111,94,54.1,266,416,63.9,3468,648,167,233,71.7,77,130,59.2,6,10,60.0,2,1.7,1.3,0.3,19,17,11,0,36,10,4,5,1,4,7,57.1,11,2,9,14,17,0,4,39,15,38.5,2.23,0.86,0.1,0.27,11.7,0,0,0,4.8,4.8,0.12,-0.8,-0.8,51,2.92,32,0,2,9,7,1,4,0.23,2,0,0,2,0,0,11,1,0,0,0,0,0,0,266,9,2023-2024,Forwards,30
Lucas Höler,de GER,"FW,MF",Freiburg,29,1994,25.6,de Bundesliga,1008,46,159,457,399,97,1006,29,13,44.8,15,51.7,546,2264,844,24,12,5,59,19,717,153,7,0,0,25,48,7,12,15,24,2,0,0,104,80,102,44.0,494,739,66.8,6619,1500,301,419,71.8,127,182,69.8,24,36,66.7,2,2.1,2.0,-0.1,32,34,12,1,49,32,14,10,8,4,23,17.4,19,4,15,47,35,0,7,32,16,50.0,1.25,0.62,0.19,0.38,13.5,0,1,2,8.6,7.0,0.22,-1.6,-1.0,64,2.5,49,0,1,4,6,4,8,0.31,6,0,0,0,1,1,16,2,3,3,0,0,0,0,494,28,2023-2024,Attacking Midfielders,29
Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,7.9,eng Premier League,296,53,143,119,35,3,296,2,1,50.0,1,50.0,95,356,159,0,2,1,4,1,105,0,3,1,0,8,4,0,7,11,7,0,1,0,30,9,7,56.3,138,211,65.4,2552,1215,65,83,78.3,52,78,66.7,19,44,43.2,0,0.4,0.2,-0.4,1,17,2,2,13,12,5,6,1,5,12,41.7,12,5,7,23,40,0,0,3,0,0.0,0.38,0.0,0.0,0.0,6.5,0,0,0,0.6,0.6,0.22,-0.6,-0.6,4,0.51,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0,41,0,1,38,0,0,0,0,138,2,2023-2024,Defender,26
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33,1990,20.4,de Bundesliga,1111,54,291,619,209,18,1111,15,8,53.3,6,40.0,585,2669,1313,11,12,1,22,9,692,47,4,1,0,34,33,1,26,24,26,0,0,0,103,9,24,27.3,720,919,78.3,13141,4204,307,349,88.0,313,361,86.7,88,162,54.3,2,1.5,1.4,0.5,17,84,9,2,87,47,18,21,8,20,37,54.1,22,12,10,71,29,0,0,11,3,27.3,0.54,0.15,0.0,0.0,24.7,1,0,0,0.6,0.6,0.06,-0.6,-0.6,45,2.21,34,6,2,0,1,2,4,0.2,3,1,0,0,0,0,78,3,4,40,8,2,5,0,720,24,2023-2024,Defensive-Midfielders,33
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22,2001,14.2,de Bundesliga,659,9,70,289,316,77,659,74,30,40.5,41,55.4,408,3029,1220,49,28,24,66,52,473,126,2,0,0,29,20,4,44,4,11,0,0,0,59,19,38,33.3,253,398,63.6,3663,963,153,190,80.5,69,106,65.1,17,35,48.6,0,1.3,1.4,-1.3,14,18,18,5,39,17,5,7,5,7,22,31.8,28,0,28,21,3,0,5,34,10,29.4,2.39,0.7,0.15,0.5,16.1,0,0,0,3.4,3.4,0.1,1.6,1.6,41,2.88,29,0,3,4,4,1,1,0.07,0,0,1,0,0,0,14,0,2,5,0,0,0,0,253,38,2023-2024,Attacking Midfielders,22
